Iteration,Timestamp,s0_MPa,h0_MPa,ss_MPa,n,RMSE_MPa,MAPE_pct
1,2026-07-23 00:06:08,140.78,1909.2117,564.0822,1.5939,39.7673,11.2087
2,2026-07-23 00:11:43,105.2904,1207.9764,534.6354,1.155,7.8971,3.3179
3,2026-07-23 00:13:05,129.3309,2167.9332,475.3992,1.9879,26.7005,8.3086
4,2026-07-23 00:14:41,103.0056,2155.5384,430.7723,2.779,10.3989,4.0893
5,2026-07-23 00:15:57,138.5404,2369.5711,381.0256,2.3196,36.4362,10.4933
6,2026-07-23 00:17:29,110.1029,1665.4031,367.0816,2.1844,5.2804,2.9646
7,2026-07-23 00:18:39,149.8495,1075.1256,590.2499,2.8177,47.8328,12.9546
8,2026-07-23 00:20:06,124.1622,1375.0185,520.8299,1.6392,19.7667,6.6927
9,2026-07-23 00:21:39,116.0617,967.1493,404.3341,2.409,8.9627,3.8784
10,2026-07-23 00:23:03,130.9091,1559.3497,459.7765,1.2651,28.2252,8.6605
11,2026-07-23 00:24:46,101.0036,1347.5346,402.862,1.655,13.8326,4.9951
12,2026-07-23 00:26:29,103.6541,1857.9835,595.2945,1.3802,7.7456,3.4613
13,2026-07-23 00:28:08,107.3582,1306.5613,372.4399,2.8217,7.6245,3.1868
14,2026-07-23 00:29:52,103.333,2497.5534,356.2043,2.6705,10.0385,3.9813
15,2026-07-23 00:31:30,108.8522,848.484,577.326,1.0164,5.7752,2.964
16,2026-07-23 00:33:13,102.0244,1484.9123,583.8045,1.0235,10.6377,4.236
17,2026-07-23 00:34:57,100.1752,846.9706,555.9601,1.3989,15.9427,5.5085
18,2026-07-23 00:36:34,111.323,2326.0989,594.9229,2.2953,6.1182,3.1621
19,2026-07-23 00:38:13,107.777,2438.2682,586.6974,1.6722,4.0943,2.6064
