Iteration,Timestamp,s0_MPa,h0_MPa,ss_MPa,n,RMSE_MPa,MAPE_pct
1,2026-06-25 12:18:01,140.78,1256.7342,435.6329,2.297,23.8256,7.6847
2,2026-06-25 12:19:45,105.2904,967.9903,423.8542,2.0775,22.4265,7.202
3,2026-06-25 12:21:13,129.3309,1363.2666,400.1597,2.4939,11.3017,4.5805
4,2026-06-25 12:22:55,103.0056,1358.1629,382.3089,2.8895,25.518,8.042
5,2026-06-25 12:24:18,138.5404,1446.294,362.4103,2.6598,21.1195,7.0489
6,2026-06-25 12:25:58,110.1029,1156.3425,356.8326,2.5922,16.4736,5.5536
7,2026-06-25 12:27:16,149.8495,913.287,446.1,2.9088,33.0283,9.7749
8,2026-06-25 12:28:53,124.1622,1036.7723,418.3319,2.3196,6.5326,3.2641
9,2026-06-25 12:30:36,116.0617,868.8262,371.7336,2.7045,9.8969,3.709
10,2026-06-25 12:32:07,130.9091,1112.6734,393.9106,2.1325,12.9034,5.0069
11,2026-06-25 12:33:37,127.1769,857.2077,395.8301,2.4847,8.7858,3.8163
12,2026-06-25 12:35:14,113.4427,1057.9142,439.5346,2.6665,12.1695,4.3695
13,2026-06-25 12:36:47,120.9195,1050.4679,409.3781,2.5756,5.8643,3.0649
14,2026-06-25 12:38:22,124.0067,1061.2452,399.3247,2.5791,6.4267,3.2478
15,2026-06-25 12:40:03,120.2055,955.0507,401.2023,2.5488,6.2212,3.0618
16,2026-06-25 12:41:35,123.2936,967.1003,418.9841,2.5656,6.0949,3.1652
17,2026-06-25 12:43:08,118.841,1239.7278,404.7237,2.2312,6.4323,3.0493
18,2026-06-25 12:44:42,122.8501,1080.1018,409.2852,2.4913,5.9112,3.1101
19,2026-06-25 12:46:17,121.5994,839.7006,408.8093,2.7563,5.9668,3.1212
20,2026-06-25 12:47:52,120.677,1061.588,403.6536,2.4534,5.8891,3.0524
21,2026-06-25 12:49:29,117.1228,1357.6609,408.6277,2.2535,7.5778,3.1906
22,2026-06-25 12:51:03,123.5534,900.433,400.7803,2.9068,6.2231,3.199
23,2026-06-25 12:52:42,125.2023,841.7636,389.249,2.8968,7.1137,3.3946
24,2026-06-25 12:54:21,123.0268,1257.1611,414.8498,2.9499,5.9723,3.1305
25,2026-06-25 12:55:56,122.187,1242.5156,405.4495,2.9776,5.7826,3.0987
26,2026-06-25 12:57:29,120.6103,1458.2775,426.6598,2.9679,5.692,3.0201
27,2026-06-25 12:58:57,132.4084,1477.2755,417.8166,2.9848,14.5448,5.4331
28,2026-06-25 13:00:34,119.3879,1430.6317,384.1835,2.0086,5.8007,2.9554
29,2026-06-25 13:02:08,120.7393,1455.1415,359.1117,2.0877,5.509,2.9974
30,2026-06-25 13:03:44,115.9035,1381.694,429.9946,2.9985,9.1438,3.5655
31,2026-06-25 13:05:17,120.2256,1371.5214,371.8291,2.831,6.0315,3.0381
32,2026-06-25 13:06:50,118.5004,1433.7577,401.1244,2.9868,6.8978,3.1084
33,2026-06-25 13:08:20,124.5386,1430.1392,447.9982,2.9712,6.8387,3.315
34,2026-06-25 13:09:56,117.0245,1487.6581,445.938,2.7853,7.6484,3.2111
35,2026-06-25 13:11:30,119.9926,1490.0462,429.5239,2.7506,5.7418,2.9827
36,2026-06-25 13:13:03,122.3932,1182.5305,372.7381,2.9236,5.8791,3.1241
37,2026-06-25 13:14:39,118.3661,1458.8367,363.6673,2.0684,6.5131,3.0387
38,2026-06-25 13:16:09,124.7931,1438.2431,366.6296,2.0242,7.1048,3.3906
39,2026-06-25 13:17:40,123.0855,1433.7012,350.5006,2.4882,5.979,3.1352
40,2026-06-25 13:19:09,124.4963,1283.0937,425.5952,2.1208,6.8709,3.3292
41,2026-06-25 13:20:41,119.583,1204.891,409.2259,2.7108,6.2817,3.0533
42,2026-06-25 13:22:12,120.9578,1428.332,356.4925,2.8848,5.848,3.0653
43,2026-06-25 13:23:41,124.0627,860.0228,432.4988,2.9461,6.4478,3.2591
44,2026-06-25 13:25:12,122.7821,1409.1504,352.5419,2.8024,5.9064,3.1168
45,2026-06-25 13:26:45,116.2356,830.2178,353.4794,2.175,9.5792,3.6393
46,2026-06-25 13:28:18,119.2941,1460.1616,358.2573,2.04,5.956,2.9825
47,2026-06-25 13:29:51,123.9629,1192.9418,390.8992,2.974,6.4027,3.2448
48,2026-06-25 13:31:29,120.4821,1476.3698,352.1033,2.147,5.592,2.9958
49,2026-06-25 13:33:04,121.469,1114.5923,415.9347,2.7365,5.7648,3.0794
50,2026-06-25 13:34:35,126.0372,1413.9924,445.2523,2.0721,8.3289,3.7465
51,2026-06-25 13:36:05,123.8782,1005.8202,427.8404,2.5038,6.3589,3.2315
52,2026-06-25 13:37:37,121.5426,1475.264,425.767,2.8828,5.5623,3.0384
53,2026-06-25 13:39:11,114.9731,1479.9818,413.7939,2.1766,9.3684,3.6464
54,2026-06-25 13:40:41,124.1548,1352.264,351.4815,2.9254,6.5028,3.2673
55,2026-06-25 13:42:23,103.5508,964.1227,421.9539,2.2147,24.907,7.8677
56,2026-06-25 13:43:41,148.7802,1470.8439,382.0348,2.2391,32.3401,9.6186
57,2026-06-25 13:45:05,133.4367,1319.2112,354.2724,2.7031,15.4322,5.6547
58,2026-06-25 13:46:34,122.7966,1481.1579,358.817,2.7515,5.8868,3.1033
59,2026-06-25 13:48:06,120.7501,1476.8229,354.6769,2.3338,5.6277,3.0179
60,2026-06-25 13:49:51,101.7765,1000.2239,365.023,2.9856,28.1071,8.6927
1,2026-06-25 13:53:14,110.838,957.9709,358.8174,2.5429,15.8588,5.3603
2,2026-06-25 13:54:57,101.5606,855.4583,394.1012,2.2653,28.1026,8.7103
3,2026-06-25 13:56:26,126.9003,1099.8038,366.8382,2.4472,8.628,3.7775
4,2026-06-25 13:58:01,117.9343,987.3864,386.9329,2.1555,7.5309,3.1805
5,2026-06-25 13:59:20,146.9116,1412.2187,376.5152,2.3576,30.2472,9.15
6,2026-06-25 14:00:48,131.6351,867.433,413.3962,2.7867,13.3066,5.1016
7,2026-06-25 14:02:09,142.1752,1330.6975,430.7019,2.9091,25.106,7.981
8,2026-06-25 14:03:32,133.6044,1063.9441,401.6639,2.734,15.58,5.6915
9,2026-06-25 14:05:12,104.8167,1480.3138,433.6199,2.96,22.5135,7.2599
10,2026-06-25 14:06:43,123.3827,1322.0183,356.0999,2.5975,6.117,3.1729
11,2026-06-25 14:08:18,115.9685,1195.8019,424.7136,2.0499,8.7423,3.4823
12,2026-06-25 14:09:41,138.7692,1211.0429,444.2643,2.2475,21.6582,7.1771
13,2026-06-25 14:11:05,140.6469,1442.7647,422.173,2.5975,23.6536,7.6447
14,2026-06-25 14:12:41,114.6418,853.8859,362.4143,2.1865,11.2352,4.0615
15,2026-06-25 14:14:09,126.9003,1434.2612,430.744,2.659,8.9167,3.9029
16,2026-06-25 14:15:48,108.0209,1055.9887,419.2436,2.1944,18.6957,6.1946
17,2026-06-25 14:17:20,120.741,1451.666,410.9564,2.4081,5.4956,2.9953
18,2026-06-25 14:19:01,105.1572,1310.4684,363.2827,2.5729,22.5685,7.2429
19,2026-06-25 14:20:21,142.1752,1330.6975,378.6658,2.6298,25.0364,7.965
20,2026-06-25 14:21:46,133.6044,1272.9831,428.9725,2.2845,16.023,5.8094
21,2026-06-25 14:23:16,122.307,1428.051,424.36,2.5491,5.6563,3.0461
22,2026-06-25 14:24:46,126.444,957.9709,358.8174,2.5429,8.1184,3.6428
23,2026-06-25 14:26:16,125.523,812.6528,424.7136,2.35,7.4093,3.4641
24,2026-06-25 14:27:43,130.2221,1459.2244,439.401,2.743,12.3451,4.8651
25,2026-06-25 14:29:10,130.8248,1451.666,407.2004,2.5428,12.9722,5.0296
26,2026-06-25 14:30:47,114.1274,1487.0418,362.4143,2.1252,10.5734,3.9781
27,2026-06-25 14:32:17,127.4882,1493.0377,364.0084,2.5516,9.3709,4.0283
28,2026-06-25 14:34:01,102.2022,1443.1039,388.6952,2.3763,25.8928,8.188
29,2026-06-25 14:35:31,124.0181,1322.0183,393.8474,2.7,6.4534,3.2471
30,2026-06-25 14:37:05,116.0236,888.9424,397.3849,2.4655,9.6747,3.6671
31,2026-06-25 14:38:33,126.8172,1104.5521,367.4336,2.6298,8.5126,3.7344
32,2026-06-25 14:40:11,111.3699,840.7355,383.9965,2.5221,15.2724,5.1917
33,2026-06-25 14:41:43,119.3823,1168.39,424.36,2.3122,6.1809,3.0276
34,2026-06-25 14:43:20,108.2225,1334.3551,406.0049,2.8069,18.3919,6.1141
35,2026-06-25 14:44:49,124.0181,1261.0855,366.2934,2.7,6.4343,3.2498
36,2026-06-25 14:46:23,119.6798,1459.2244,439.401,2.3603,5.6451,2.9458
37,2026-06-25 14:47:58,116.5051,1407.7875,398.7702,2.4596,8.2897,3.3683
38,2026-06-25 14:49:33,114.1274,1478.4404,362.4143,2.0556,10.5169,3.9669
39,2026-06-25 14:51:02,126.9003,1147.5928,414.2304,2.3896,8.7709,3.8423
40,2026-06-25 14:52:32,123.251,858.2991,391.312,2.0917,6.0775,3.1596
41,2026-06-25 14:54:05,116.5601,1045.6405,361.7067,2.5009,9.0458,3.5193
42,2026-06-25 14:55:38,116.0236,888.9424,448.664,2.4872,9.487,3.63
43,2026-06-25 14:57:10,118.1176,1104.5521,410.4606,2.6382,7.3746,3.1611
44,2026-06-25 14:58:43,115.5501,1208.3581,446.2173,2.5221,9.3937,3.6294
45,2026-06-25 15:00:08,128.7352,1447.3441,371.2508,2.5491,10.6221,4.3893
46,2026-06-25 15:01:38,122.163,1430.8106,437.2984,2.1552,5.5602,3.0175
47,2026-06-25 15:03:10,115.1348,1052.2416,375.995,2.3726,10.3731,3.8367
48,2026-06-25 15:04:42,119.6798,1459.2244,406.9297,2.3603,5.7654,2.9607
49,2026-06-25 15:06:13,120.741,1478.9401,434.2119,2.2168,5.3419,2.9673
50,2026-06-25 15:07:46,115.9811,1352.6634,362.4143,2.0556,8.7699,3.4883
51,2026-06-25 15:09:26,116.4936,1099.8038,417.1701,2.2496,8.5835,3.4288
52,2026-06-25 15:11:03,123.251,858.2991,408.9956,2.48,6.0972,3.1622
53,2026-06-25 15:12:34,124.9286,1043.7788,424.5271,2.5975,7.0251,3.3604
54,2026-06-25 15:14:10,116.0236,1017.0907,397.1143,2.1655,9.2427,3.5809
55,2026-06-25 15:15:43,118.1176,956.6943,410.4606,2.6479,7.6082,3.1973
56,2026-06-25 15:17:13,126.1922,1284.1164,413.352,2.0894,8.2986,3.7165
57,2026-06-25 15:18:47,116.5999,1139.1661,449.6592,2.6576,8.5368,3.4142
58,2026-06-25 15:20:20,119.8849,1463.0353,437.2984,2.3326,5.5599,2.9495
59,2026-06-25 15:21:48,125.9947,1337.6791,413.198,2.8905,7.9265,3.5944
60,2026-06-25 15:23:16,127.2549,1036.2128,436.5444,2.8996,8.952,3.8798
1,2026-06-25 15:26:27,124.3727,1181.55,402.3199,2.5099,6.671,3.2881
2,2026-06-25 15:27:55,130.5913,1181.55,402.3199,2.5099,12.4952,4.8966
3,2026-06-25 15:29:25,124.3727,1240.6275,402.3199,2.5099,6.6869,3.2881
4,2026-06-25 15:30:57,124.3727,1181.55,422.4359,2.5099,6.6871,3.2873
5,2026-06-25 15:32:29,124.3727,1181.55,402.3199,2.6354,6.661,3.2892
