iter,mode,fiber,sigma,loss,p100,c100,p110,c110,p111,c111
1,random,101,45.0,1.5456,1.86,0.82,1.96,1.68,1.85,0.19
2,f100,100,46.4,5.302,2.31,1.97,1.87,1.39,2.05,0.09
3,f110,110,46.4,0.4421,1.79,0.45,2.54,2.08,2.28,0.16
4,f111,111,46.4,0.8633,2.0,0.66,2.3,1.87,2.15,0.52
5,f110,110,85.0,0.7955,1.67,0.76,2.32,1.86,1.83,0.23
6,f110,110,3.0,36.0484,3.66,0.0,7.11,4.67,3.14,0.06
7,f110,110,65.7,0.7435,1.9,0.6,2.56,2.05,2.64,0.2
8,f110,110,56.1,0.658,1.99,0.54,2.47,2.02,2.4,0.19
9,f100,100,85.0,3.3674,2.1,1.44,1.92,1.5,2.41,0.12
10,f110,110,75.4,0.7273,1.87,0.72,2.44,1.93,2.23,0.25
11,f110,110,51.2,0.6263,2.1,0.49,2.47,2.03,2.19,0.16
12,f111,111,80.2,1.6073,2.3,0.65,2.05,1.71,2.26,0.41
13,f110,110,41.6,0.4982,1.92,0.41,2.67,2.18,2.41,0.15
14,f110,110,80.2,0.7442,1.74,0.74,2.37,1.88,2.02,0.23
15,f110,110,36.8,0.6148,2.04,0.4,2.92,2.33,2.23,0.14
