Exx	Eyy	Ezz	Eyz	Exz	Exy	Txx	Tyy	Tzz	Tyz	Txz	Txy	TwinRealVF	TwinMade	SlipTotal	Basal	Prismatic	Pyr1	Pyr2	Slip_share_Twin
0	0.00250629	-0.00249373	0	0	0	-0.166946	22.9517	-22.5608	-0.189486	0.0830893	-0.14915	2.92304e-07	0	0.00565868	0.00278141	0.00212866	0.000748613	0	3.77072e-08
2.57227e-17	0.00502515	-0.00497502	2.07829e-21	-8.80957e-25	-2.12406e-22	-0.175207	26.0484	-25.5532	-0.20873	0.100607	-0.0279861	2.27353e-06	0	0.0128037	0.00547042	0.00451955	0.00281374	0	2.93285e-07
4.11184e-17	0.00755663	-0.00744394	5.21512e-21	-8.0677e-22	-1.25158e-21	-0.144972	28.3102	-27.7731	-0.231361	0.081436	-0.00379152	8.57244e-06	0	0.0200536	0.00815992	0.00686176	0.00503187	0	1.10584e-06
6.05256e-17	0.0101008	-0.00990054	1.05732e-20	-2.26845e-22	-5.38589e-22	-0.103644	30.3392	-29.7739	-0.264013	0.0751103	-0.00568578	2.4859e-05	0	0.0273438	0.0108593	0.00919356	0.00729095	0	3.20681e-06
7.39697e-17	0.0126577	-0.0123449	1.82589e-20	-3.44193e-21	3.74888e-21	-0.0752015	32.2532	-31.6453	-0.302807	0.0708131	0.00442045	6.08529e-05	0	0.0346592	0.0135696	0.0115227	0.009567	0	7.85002e-06
8.87419e-17	0.0152275	-0.0147771	2.55449e-20	6.36177e-22	5.89743e-21	-0.0540049	34.0772	-33.4171	-0.333557	0.0699697	0.00844918	0.000130944	0	0.0419928	0.0162917	0.0138511	0.0118501	0	1.68918e-05
1.07661e-16	0.0178101	-0.0171971	1.20745e-20	-6.69877e-21	1.15826e-20	-0.0365358	35.7982	-35.0825	-0.359827	0.0693397	0.00553937	0.000251496	0	0.0493448	0.0190258	0.0161861	0.0141329	0	3.2443e-05
1.27638e-16	0.0204056	-0.019605	-3.02784e-22	5.9546e-21	1.89533e-20	-0.0383178	37.3961	-36.6092	-0.386613	0.0694796	-0.00413544	0.000425228	0	0.0567215	0.02177	0.0185424	0.0164091	0	5.48544e-05
1.43847e-16	0.0230142	-0.022001	-1.01172e-20	2.48135e-20	1.59571e-20	-0.0330353	38.8813	-38.0321	-0.410712	0.0687928	-0.0139686	0.00064974	0	0.064117	0.0245238	0.020914	0.0186792	0	8.38164e-05
1.60516e-16	0.0256359	-0.024385	-3.00715e-20	5.79645e-20	2.75792e-20	-0.0213795	40.2652	-39.3616	-0.430401	0.0678537	-0.0250911	0.000924288	0	0.0715277	0.0272869	0.0232971	0.0209437	0	0.000119233
1.75668e-16	0.0282707	-0.0267571	-5.22733e-20	5.66129e-20	4.04744e-20	-0.017098	41.5674	-40.6035	-0.447229	0.0695924	-0.0422291	0.00124779	0	0.0789502	0.030059	0.0256881	0.0232032	0	0.000160965
1.9334e-16	0.0309187	-0.0291174	-5.30588e-20	5.74645e-20	2.9624e-20	-0.0123479	42.7963	-41.7731	-0.462099	0.0655551	-0.062083	0.00161912	0	0.086382	0.0328397	0.0280844	0.0254579	0	0.000208866
